|----------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                                 PROVIDES PING STATISTICS                                                                 |
|----------------------------------------------------------------------------------------------------------------------------------------------------------|
|                           LABEL                             | COUNT  | DEPTH  |  METRIC   | UNITS  |  SUM   | MEAN   |  MIN   |  MAX   | STDDEV | % SELF |
|-------------------------------------------------------------|--------|--------|-----------|--------|--------|--------|--------|--------|--------|--------|
| >>> sfo07s17-in-f14.1e100.net (h: google.com)(172.217.6.78) |      1 |      0 | ping_data | sec    |  0.011 |  0.011 |  0.011 |  0.011 |  0.000 |  100.0 |
| >>> sfo07s17-in-f14.1e100.net (h: google.com)(172.217.6.78) |      1 |      0 | ping_data | sec    |  0.010 |  0.010 |  0.010 |  0.010 |  0.000 |  100.0 |
| >>> sfo07s17-in-f14.1e100.net (h: google.com)(172.217.6.78) |      1 |      0 | ping_data | sec    |  0.010 |  0.010 |  0.010 |  0.010 |  0.000 |  100.0 |
| >>> sfo07s17-in-f14.1e100.net (h: google.com)(172.217.6.78) |      1 |      0 | ping_data | sec    |  0.010 |  0.010 |  0.010 |  0.010 |  0.000 |  100.0 |
| >>> sfo07s17-in-f14.1e100.net (h: google.com)(172.217.6.78) |      1 |      0 | ping_data | sec    |  0.010 |  0.010 |  0.010 |  0.010 |  0.000 |  100.0 |
| >>> sfo07s17-in-f14.1e100.net (h: google.com)(172.217.6.78) |      1 |      0 | ping_data | sec    |  0.014 |  0.014 |  0.014 |  0.014 |  0.000 |  100.0 |
| >>> sfo07s17-in-f14.1e100.net (h: google.com)(172.217.6.78) |      1 |      0 | ping_data | sec    |  0.010 |  0.010 |  0.010 |  0.010 |  0.000 |  100.0 |
| >>> sfo07s17-in-f14.1e100.net (h: google.com)(172.217.6.78) |      1 |      0 | ping_data | sec    |  0.010 |  0.010 |  0.010 |  0.010 |  0.000 |  100.0 |
| >>> sfo07s17-in-f14.1e100.net (h: google.com)(172.217.6.78) |      1 |      0 | ping_data | sec    |  0.010 |  0.010 |  0.010 |  0.010 |  0.000 |  100.0 |
| >>> sfo07s17-in-f14.1e100.net (h: google.com)(172.217.6.78) |      1 |      0 | ping_data | sec    |  0.010 |  0.010 |  0.010 |  0.010 |  0.000 |  100.0 |
|----------------------------------------------------------------------------------------------------------------------------------------------------------|
